시군구,주택유형,연면적(㎡),대지면적(㎡),계약일,거래금액(만원),건축년도,도로명
 서울특별시 강북구 미아동,단독,22.32,50,1~10,"17,000",1985,삼양로16길
 서울특별시 강북구 미아동,단독,59.5,60,11~20,"18,200",1950,삼양로20길
 서울특별시 강북구 미아동,단독,36.3,63,11~20,"18,000",1985,솔샘로60길
 서울특별시 강북구 미아동,단독,122.45,79,11~20,"29,500",1994,오현로
 서울특별시 강북구 미아동,단독,50.48,89,21~31,"29,500",1969,삼양로20가길
 서울특별시 강북구 미아동,단독,66.84,99,21~31,"21,000",1970,솔샘로
 서울특별시 강북구 미아동,단독,79.8,103.5,11~20,"33,000",1970,도봉로18가길
 서울특별시 강북구 미아동,단독,68.86,106,21~31,"27,840",1967,솔샘로68길
 서울특별시 강북구 미아동,단독,148.05,106,11~20,"32,000",1994,솔매로28길
 서울특별시 강북구 미아동,단독,164.1,143.1,1~10,"69,120",1974,도봉로31길
 서울특별시 강북구 번동,다가구,163.01,105.1,11~20,"41,500",2003,오패산로77길
 서울특별시 강북구 번동,다가구,369.91,179.8,11~20,"125,000",1993,덕릉로
 서울특별시 강북구 번동,단독,62.34,84,11~20,"21,100",1971,덕릉로
 서울특별시 강북구 번동,단독,158.77,98.8,21~31,"31,000",1995,도봉로98길
 서울특별시 강북구 번동,단독,68.53,101.5,11~20,"32,000",1972,한천로130가길
 서울특별시 강북구 수유동,다가구,145.56,92.6,11~20,"33,000",1993,삼양로74다길
 서울특별시 강북구 수유동,다가구,169.97,106.4,11~20,"36,000",1994,노해로15길
 서울특별시 강북구 수유동,다가구,179.37,114.4,11~20,"22,900",1994,한천로148길
 서울특별시 강북구 수유동,다가구,179.85,116,1~10,"38,500",1996,화계사1가길
 서울특별시 강북구 수유동,다가구,196.27,121,11~20,"47,000",1991,한천로140길
 서울특별시 강북구 수유동,다가구,198.99,122,11~20,"42,000",1994,노해로29길
 서울특별시 강북구 수유동,다가구,199.32,128.6,1~10,"45,000",1994,노해로11길
 서울특별시 강북구 수유동,다가구,224.34,152,1~10,"54,200",1983,노해로9길
 서울특별시 강북구 수유동,다가구,346.74,175,11~20,"90,000",2005,노해로17길
 서울특별시 강북구 수유동,다가구,453.6,230,1~10,"86,300",1989,삼양로109길
 서울특별시 강북구 수유동,다가구,318.86,245,1~10,"88,000",1989,삼양로92길
 서울특별시 강북구 수유동,다가구,638.34,413,11~20,"118,500",1995,4.19로11길
 서울특별시 강북구 수유동,단독,122.62,73,1~10,"22,000",1992,삼양로79길
 서울특별시 강북구 수유동,단독,50.94,76.7,21~31,"23,000",1970,도봉로99길
